"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_675",49963.4861260404,-1.16049396476571,0.12993778441129,-8.93115093522314,4.21599428811766e-19,1.82699040612624e-17
"gene_7354",317.072974808164,2.01404942499727,0.225727953860547,8.92246348115813,4.56029288844354e-19,1.96785296920304e-17
"gene_2917",3856.11254102308,2.77926869949725,0.311776075908242,8.91431034726092,4.90861676862907e-19,2.1092614996962e-17
"gene_9114",1062.69986782989,-0.928851407138829,0.104276339234797,-8.90759508777299,5.21514689245846e-19,2.23160281460974e-17
"gene_3286",3954.6772210289,-1.70404863245351,0.191547971905662,-8.8961977279131,5.77925774469493e-19,2.46268620645813e-17
"gene_4408",5491.44945174152,0.87831313372162,0.098783293277955,8.89131253450151,6.03912521815874e-19,2.56274413303359e-17
"gene_2035",7660.86541384025,-0.916977991062168,0.103586498363433,-8.85229258204053,8.57395768832265e-19,3.62338286274693e-17
"gene_1982",1533.49691343659,-1.31486545465729,0.148542576965258,-8.85177490198526,8.61382982343071e-19,3.62525257630559e-17
"gene_475",4342.62479132805,1.08768754175833,0.123055827255474,8.83897630869771,9.65995990768924e-19,4.03234326432399e-17
"gene_8019",3011.17586650919,-0.719773042668453,0.0814286692995193,-8.83930744368313,9.63137490962135e-19,4.03234326432399e-17
"gene_8946",834.327650348722,0.76395802773531,0.0864918885391895,8.83271299353303,1.0216692847646e-18,4.24740316068598e-17
"gene_5856",513.840665661875,2.33131607079257,0.264186772730594,8.8244996019159,1.09950325366882e-18,4.55247764181012e-17
"gene_6064",1278.96294883695,0.878316846486139,0.0996542444193297,8.81364212436669,1.21144358543715e-18,4.99573933397813e-17
"gene_2762",9569.39411052885,1.37336414687983,0.15583290628745,8.81305610989836,1.21779558267072e-18,5.00176523051143e-17
"gene_920",1471.71168863792,-0.881861732016173,0.100189026167724,-8.80197927605233,1.34424010874468e-18,5.49901743685272e-17
"gene_10392",8573.41857613798,-0.736699127948053,0.0837357662339887,-8.79790274910058,1.39396759008027e-18,5.67972372260994e-17
"gene_7967",2818.67463643509,1.67784116037665,0.190763707924507,8.79538974489134,1.42552305396199e-18,5.78524772732908e-17
"gene_9044",720.913040578346,1.25174401555163,0.142557856785668,8.78060349513808,1.62599814848121e-18,6.57276010455229e-17
